Group,APM,Appearances,year
"('Derrick Favors', 'Gordon Hayward', 'Raul Neto', 'Rodney Hood', 'Rudy Gobert')",10.14577058410922,1143,2016
"('Andrew Bogut', 'Draymond Green', 'Harrison Barnes', 'Klay Thompson', 'Stephen Curry')",13.894654977670292,2801,2016
"('Andrew Bogut', 'Brandon Rush', 'Draymond Green', 'Klay Thompson', 'Stephen Curry')",15.530895868998092,1091,2016
"('Corey Brewer', 'Dwight Howard', 'James Harden', 'Patrick Beverley', 'Trevor Ariza')",5.349287491695406,839,2016
"('Blake Griffin', 'Chris Paul', 'DeAndre Jordan', 'JJ Redick', 'Luc Mbah a Moute')",16.04903260983684,1325,2016
"('Chris Bosh', 'Dwyane Wade', 'Goran Dragic', 'Hassan Whiteside', 'Luol Deng')",6.68988666767086,1289,2016
"('Al-Farouq Aminu', 'CJ McCollum', 'Damian Lillard', 'Mason Plumlee', 'Noah Vonleh')",6.464831061820616,2414,2016
"('Al Horford', 'Jeff Teague', 'Kent Bazemore', 'Kyle Korver', 'Paul Millsap')",9.901685565576743,4162,2016
"('Andre Iguodala', 'Andrew Bogut', 'Draymond Green', 'Klay Thompson', 'Stephen Curry')",18.84489681423036,945,2016
"('Andre Iguodala', 'Draymond Green', 'Harrison Barnes', 'Klay Thompson', 'Stephen Curry')",23.85393332092551,1228,2016
"('Al Horford', 'Jeff Teague', 'Kyle Korver', 'Paul Millsap', 'Thabo Sefolosha')",12.47936366164928,958,2016
"('Bismack Biyombo', 'Cory Joseph', 'DeMar DeRozan', 'Patrick Patterson', 'Terrence Ross')",9.473606806729215,970,2016
"('Giannis Antetokounmpo', 'Greg Monroe', 'Jabari Parker', 'Jerryd Bayless', 'Khris Middleton')",5.535814488578738,1119,2016
"('Bradley Beal', 'John Wall', 'Marcin Gortat', 'Markieff Morris', 'Otto Porter Jr.')",12.287678557128029,819,2016
"('Bradley Beal', 'Jared Dudley', 'John Wall', 'Marcin Gortat', 'Otto Porter Jr.')",10.292065720173772,943,2016
"('Garrett Temple', 'Jared Dudley', 'John Wall', 'Marcin Gortat', 'Otto Porter Jr.')",6.350065311519186,1252,2016
"('Donatas Motiejunas', 'Dwight Howard', 'James Harden', 'Patrick Beverley', 'Trevor Ariza')",13.0474429663186,1408,2016
"('George Hill', 'Ian Mahinmi', 'Monta Ellis', 'Myles Turner', 'Paul George')",9.548027423181187,2066,2016
"('Cody Zeller', 'Courtney Lee', 'Kemba Walker', 'Marvin Williams', 'Nicolas Batum')",10.730131228865924,1768,2016
