year,team,player_1,player_2,player_3,player_4,player_5,PM_minus_RAPM,Appearances
2016,Minnesota Timberwolves,Kevin Garnett,Tayshaun Prince,Ricky Rubio,Andrew Wiggins,Karl-Anthony Towns,1.200428956251371,1057
2016,Brooklyn Nets,Joe Johnson,Jarrett Jack,Thaddeus Young,Brook Lopez,Rondae Hollis-Jefferson,-5.585738298088339,919
2016,Brooklyn Nets,Joe Johnson,Jarrett Jack,Thaddeus Young,Brook Lopez,Bojan Bogdanovic,-6.393055059716338,1166
2016,Utah Jazz,Derrick Favors,Gordon Hayward,Shelvin Mack,Rudy Gobert,Rodney Hood,0.4111883687165694,967
2016,Denver Nuggets,Danilo Gallinari,Kenneth Faried,Gary Harris,Nikola Jokic,Emmanuel Mudiay,-7.336413884147879,1148
2016,Indiana Pacers,Ian Mahinmi,Monta Ellis,George Hill,Paul George,Lavoy Allen,-5.325378446773029,1408
2016,Indiana Pacers,Ian Mahinmi,CJ Miles,Monta Ellis,George Hill,Paul George,-12.712994156570819,1447
2016,Los Angeles Lakers,Kobe Bryant,Lou Williams,Roy Hibbert,Jordan Clarkson,Julius Randle,-11.94227869048425,805
2016,Dallas Mavericks,Dirk Nowitzki,Zaza Pachulia,Raymond Felton,Deron Williams,Wesley Matthews,10.86519474494541,1055
2016,San Antonio Spurs,Tony Parker,David West,LaMarcus Aldridge,Danny Green,Kawhi Leonard,-11.326846708014704,806
2016,Toronto Raptors,Luis Scola,Kyle Lowry,DeMar DeRozan,DeMarre Carroll,Jonas Valanciunas,-7.311643243927277,1036
2016,Detroit Pistons,Marcus Morris Sr.,Tobias Harris,Reggie Jackson,Andre Drummond,Kentavious Caldwell-Pope,-7.460050473147259,2119
2016,Toronto Raptors,Luis Scola,Kyle Lowry,DeMar DeRozan,James Johnson,Jonas Valanciunas,-8.200484055388559,1267
2016,Portland Trail Blazers,Al-Farouq Aminu,Damian Lillard,Maurice Harkless,CJ McCollum,Mason Plumlee,2.8134505182485867,1880
2016,New York Knicks,Carmelo Anthony,Sasha Vujacic,Jose Calderon,Robin Lopez,Kristaps Porzingis,-3.3178873998518004,910
2016,Miami Heat,Joe Johnson,Amar'e Stoudemire,Dwyane Wade,Luol Deng,Goran Dragic,1.872875303048045,817
2016,Memphis Grizzlies,Zach Randolph,Tony Allen,Mike Conley,Marc Gasol,Courtney Lee,-0.26941173310252875,981
2016,Charlotte Hornets,Marvin Williams,Nicolas Batum,Kemba Walker,Cody Zeller,PJ Hairston,-8.09989020350734,1024
2016,Toronto Raptors,Kyle Lowry,Patrick Patterson,Bismack Biyombo,Cory Joseph,Terrence Ross,6.902668517760588,1235
2017,Indiana Pacers,Monta Ellis,Thaddeus Young,Jeff Teague,Paul George,Myles Turner,-8.139209185685035,2579
2017,Houston Rockets,Nene,Trevor Ariza,Eric Gordon,Ryan Anderson,James Harden,-1.4520751076068894,927
2017,Golden State Warriors,Andre Iguodala,Kevin Durant,Stephen Curry,Klay Thompson,Draymond Green,-2.9923647980436847,1190
2017,Houston Rockets,Trevor Ariza,Ryan Anderson,James Harden,Patrick Beverley,Clint Capela,6.397788878341164,2500
2017,Houston Rockets,Trevor Ariza,Eric Gordon,Ryan Anderson,James Harden,Clint Capela,-7.595012007296592,1171
2017,Phoenix Suns,Eric Bledsoe,Alex Len,T.J. Warren,Devin Booker,Marquese Chriss,-7.611295555515404,839
2017,New York Knicks,Carmelo Anthony,Joakim Noah,Derrick Rose,Courtney Lee,Kristaps Porzingis,-6.303219689545611,1579
2017,Washington Wizards,Marcin Gortat,John Wall,Markieff Morris,Bradley Beal,Otto Porter Jr.,-3.631425578712788,6398
