Group,APM,Group_Appearances,year,team,MIN,GP,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,PF,PTS,PLUS_MINUS,player_1,player_2,player_3,player_4,player_5,player_1_rapm,player_2_rapm,player_3_rapm,player_4_rapm,player_5_rapm,player_rapm_sum
-101150-201946-201949-202335-202349-,10.31097138,862,2015,Toronto Raptors,228.6483333,39,42,87.8,0.478,11.1,30.8,0.36,20.6,27.7,0.746,11.6,29.7,41.3,22.9,12.5,8.8,4.3,24.5,115.6,17.5,Lou Williams,Tyler Hansbrough,James Johnson,Patrick Patterson,Greivis Vasquez,1.354410294,1.382883591,1.679743133,0.729983175,-0.915719377,4.231300816
-2561-201155-201228-201579-203524-,2.060144148,962,2015,Indiana Pacers,260.36,24,38.9,87.4,0.445,4.4,13.8,0.319,13.2,16.4,0.805,10.6,34.3,44.9,23.6,15.4,5.6,6.2,20.6,95.4,-15.6,David West,Rodney Stuckey,C.J. Watson,Roy Hibbert,Solomon Hill,-0.038032224,0.315817861,0.058593586,0.116109272,-1.103806283,-0.651317787
-200782-201609-202339-202693-203458-,13.25526141,1579,2015,Phoenix Suns,391.8783333,35,42.4,87,0.488,6.3,18.6,0.338,12.3,16.6,0.742,10.3,35.9,46.2,21.1,15.6,11.8,6.8,18.2,103.4,6.4,P.J. Tucker,Goran Dragic,Eric Bledsoe,Markieff Morris,Alex Len,-0.170417936,0.050193418,1.501131951,2.191384209,-0.25405452,3.318237123
-201142-201566-201586-203460-203500-,19.02844175,964,2015,Oklahoma City Thunder,248.9666667,23,41.9,87.3,0.481,8.2,20.7,0.394,19.3,23.5,0.822,12.9,36.8,49.7,25.6,16.7,9.1,7.2,19.3,111.3,14.5,Kevin Durant,Russell Westbrook,Serge Ibaka,Andre Roberson,Steven Adams,1.457658685,2.082680643,2.091625621,1.717341884,-0.219268864,7.130037968
-2594-200794-201143-201952-201960-,14.68012779,4574,2015,Atlanta Hawks,915.3566667,57,41.7,84.8,0.492,10.5,25.3,0.416,15.5,19.1,0.809,8.6,31.8,40.4,30.2,15,10.3,4.9,16,109.3,9.1,Kyle Korver,Paul Millsap,Al Horford,Jeff Teague,DeMarre Carroll,3.209588522,1.990219747,0.813926657,0.747224412,0.41376137,7.174720708
-2207-101114-201152-201572-203900-,11.39701469,1002,2015,Brooklyn Nets,256.0766667,23,42.2,90.6,0.466,6,16.7,0.361,16.9,20.3,0.832,12.4,35.3,47.8,21.9,10.6,7.2,5.2,14.7,107.2,5,Joe Johnson,Deron Williams,Thaddeus Young,Brook Lopez,Markel Brown,0.411929557,1.278912643,0.842260592,-0.217580729,-0.4872524,1.828269664
-2207-101114-201152-201572-202711-,1.831381671,894,2015,Brooklyn Nets,134.9533333,20,39.6,91.4,0.434,6.4,23.2,0.277,17.9,23.2,0.769,12.9,27.5,40.4,22.5,10.7,8.9,3.2,17.5,103.6,-9.6,Joe Johnson,Deron Williams,Thaddeus Young,Brook Lopez,Bojan Bogdanovic,0.411929557,1.278912643,0.842260592,-0.217580729,-0.644956584,1.67056548
-1495-2225-201168-201980-202695-,19.03208684,1303,2015,San Antonio Spurs,265.32,29,46.5,87.7,0.531,6.7,15,0.45,15.3,18.5,0.828,9,36.8,45.8,29,11.8,11,8.6,16.4,115.1,20.6,Tim Duncan,Tony Parker,Tiago Splitter,Danny Green,Kawhi Leonard,1.672254217,-0.859815506,1.6102628,2.807663278,2.992508304,8.222873093
-1495-2225-2564-201980-202695-,15.25472695,1159,2015,San Antonio Spurs,265.8266667,44,43.8,86.7,0.504,8.7,20.1,0.434,17.2,22,0.784,10.4,35.4,45.8,25.8,13.3,8.3,7.6,13.6,113.4,11.7,Tim Duncan,Tony Parker,Boris Diaw,Danny Green,Kawhi Leonard,1.672254217,-0.859815506,0.367207051,2.807663278,2.992508304,6.979817344
-101106-201939-202691-203084-203110-,18.86016205,4311,2015,Golden State Warriors,813.13,58,44.7,89.2,0.501,14.6,33.4,0.438,11.2,14.3,0.785,8.6,36.6,45.3,31.3,13.9,9.2,7,16.7,115.2,19.5,Andrew Bogut,Stephen Curry,Klay Thompson,Harrison Barnes,Draymond Green,0.827234531,3.706578979,1.958645447,0.704318247,3.510333715,10.70711092
